,Year,Month,Day,Hour,Minute,Data Source and Uncertainty Flags,DBT,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,glob_hor_rad,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,wind_speed,Total Sky Cover,Opaque Sky Cover (used if Horizontal IR Intensity missing),Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Days Since Last Snowfall,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity
0,2005,1,1,1,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-9.1,-12.1,77,91830,0,0,233,0,0,0,0,0,0,0,0,0,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
1,2005,1,1,2,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7,-10,77,91830,0,0,241,0,0,0,0,0,0,0,247,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
2,2005,1,1,3,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7.8,-10.8,77,91830,0,0,238,0,0,0,0,0,0,0,225,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
3,2005,1,1,4,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-8,-11,77,91830,0,0,237,0,0,0,0,0,0,0,225,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
4,2005,1,1,5,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-8.2,-11.2,77,91830,0,0,235,0,0,0,0,0,0,0,225,2,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
5,2005,1,1,6,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-6.4,-9.4,77,91830,0,0,242,0,0,0,0,0,0,0,247,3,7,7,999,999,9,999999999,4,0.085,0,88,0.6,0,0
6,2005,1,1,7,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7.3,-10.3,77,91830,0,0,238,0,0,0,0,0,0,0,247,2,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
7,2005,1,1,8,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7.6,-10.6,77,91830,0,0,237,0,0,0,0,0,0,0,247,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
8,2005,1,1,9,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-8.1,-11.1,77,91830,0,0,234,0,0,0,0,0,0,0,247,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
9,2005,1,1,10,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7.3,-10.3,77,91830,0,0,237,0,0,0,0,0,0,0,247,3,7,7,999,999,9,999999999,3,0.085,0,88,0.6,0,0
10,2005,1,1,11,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-7.7,-12.2,67,91830,228,1375,218,19,0,19,2100,0,2119,1011,292,2,5,5,999,999,9,999999999,3,0.085,0,88,0.6,0,0
11,2005,1,1,12,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-5.7,-10.2,67,91830,422,1415,226,133,0,133,14266,0,14400,6933,247,3,5,5,999,999,9,999999999,3,0.085,0,88,0.58,0,0
12,2005,1,1,13,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-4.4,-10.4,59,91830,565,1415,222,283,0,283,30316,0,30600,13600,247,3,4,4,999,999,9,999999999,3,0.085,0,88,0.493,0,0
13,2005,1,1,14,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-2.2,-8.2,60,91830,645,1415,232,383,0,383,41016,0,41400,17250,292,2,4,4,999,999,9,999999999,4,0.085,0,88,0.347,0,0
14,2005,1,1,15,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-0.4,-6.4,60,91830,657,1415,240,431,0,431,46070,0,46500,18514,0,0,4,4,999,999,9,999999999,5,0.085,0,88,0.227,0,0
15,2005,1,1,16,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-0.1,-6.1,60,91830,601,1415,242,394,0,394,42205,0,42600,17355,360,2,4,4,999,999,9,999999999,5,0.085,0,88,0.207,0,0
16,2005,1,1,17,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,0.5,-5.5,61,91830,480,1415,246,383,0,383,41016,0,41400,16100,45,2,4,4,999,999,9,999999999,5,0.085,0,88,0.2,0,0
17,2005,1,1,18,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,1.6,-2.9,70,91830,302,1415,269,347,0,347,37500,0,37847,12847,22,2,6,6,999,999,9,999999999,7,0.085,0,88,0.2,0,0
18,2005,1,1,19,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,0.6,-3.9,69,91830,80,1415,265,167,0,167,18000,0,18167,5500,22,2,6,6,999,999,9,999999999,6,0.085,0,88,0.2,0,0
19,2005,1,1,20,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-2,-5,78,91830,0,453,262,19,0,0,2100,0,0,0,67,1,7,7,999,999,9,999999999,6,0.085,0,88,0.333,0,0
20,2005,1,1,21,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-3.4,-6.4,77,91830,0,0,257,0,0,0,0,0,0,0,0,0,7,7,999,999,9,999999999,5,0.085,0,88,0.427,0,0
21,2005,1,1,22,0,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*9*9*9C9*9*9,-5.7,-8.7,77,91830,0,0,247,0,0,0,0,0,0,0,67,1,7,7,999,999,9,999999999,4,0.085,0,88,0.58,0,0
