,Year,Month,Day,Hour,Minute,Data Source and Uncertainty Flags,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover (used if Horizontal IR Intensity missing),Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Days Since Last Snowfall,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity
0,2010,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.2,-13.1,46,88082,0,0,201,0,0,0,0,0,0,0,265,2.3,0,2,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
1,2010,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-4.0,-13.1,45,87999,0,0,201,0,0,0,0,0,0,0,160,2.0,0,0,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
2,2010,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.5,-13.2,46,87957,0,0,201,0,0,0,0,0,0,0,268,2.0,0,2,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
3,2010,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.9,-13.4,48,87915,0,0,201,0,0,0,0,0,0,0,272,2.0,0,2,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
4,2010,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-5.4,-13.5,49,87873,0,0,201,0,0,0,0,0,0,0,160,2.0,0,0,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
5,2010,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-9.8,-16.8,53,88511,0,0,201,0,0,0,0,0,0,0,276,2.0,0,3,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
6,2010,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-14.3,-20.2,57,89150,0,0,202,0,0,0,0,0,0,0,280,2.0,0,4,777.7,77777,9,999999999,1,0.085,0,88,0.21,0.0,0.0
7,2010,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.2,-13.2,59,87994,0,0,202,0,0,0,0,0,0,0,180,2.0,0,0,777.7,77777,9,999999999,2,0.085,0,88,0.21,0.0,0.0
8,2010,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.7,-13.2,51,88055,227,1344,204,118,416,46,19569,48379,8902,5156,259,2.0,3,3,777.7,3982,9,999999999,2,0.085,0,88,0.21,0.0,0.0
9,2010,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.1,-13.2,45,88116,426,1415,210,253,543,88,32848,56211,14064,6516,255,2.0,2,2,777.7,3808,9,999999999,2,0.085,0,88,0.21,0.0,0.0
